Start_Date,num of mides collected,,,GPS of the dairy farm
4/9/2018,1099,,,"33.993663, -117.600143"
4/23/2018,857,,,
5/7/2018,1494,,,
5/23/2018,1227,,,
6/4/2018,1408,,,
6/18/2018,1507,,,
7/16/2018,2360,,,
7/30/2018,3028,,,
8/13/2018,5592,,,
8/29/2018,2304,,,
9/10/2018,6409,,,
9/26/2018,1583,,,
10/10/2018,1643,,,
10/24/2018,1331,,,
11/7/2018,1300,,,
11/21/2018,437,,,
12/3/2018,74,,,
12/18/2018,39,,,
1/9/2019,7,,,
1/21/2019,0,,,
2/11/2019,3,,,
2/26/2019,9,,,
3/15/2019,0,,,
3/26/2019,40,,,
4/10/2019,29,,,
4/24/2019,423,,,
5/8/2019,154,,,
5/24/2019,38,,,
6/6/2019,645,,,
6/20/2019,167,,,
7/1/2019,1746,,,
7/15/2019,2647,,,
7/31/2019,3857,,,
8/13/2019,2621,,,
8/27/2019,6038,,,
9/9/2019,1482,,,
9/24/2019,1393,,,
10/9/2019,1304,,,
10/24/2019,1442,,,
11/6/2019,109,,,
12/2/2019,19,,,
12/18/2019,7,,,
12/31/2019,2,,,
1/13/2020,1,,,
1/28/2020,21,,,
2/13/2020,3,,,
2/24/2020,12,,,
3/27/2020,0,,,
4/14/2020,29,,,
4/21/2020,17,,,
5/4/2020,261,,,
5/19/2020,90,,,
6/2/2020,1056,,,
6/16/2020,460,,,
6/30/2020,450,,,
7/14/2020,1036,,,
7/28/2020,359,,,
8/12/2020,2422,,,
8/25/2020,3544,,,
9/8/2020,1085,,,
9/22/2020,339,,,
10/6/2020,468,,,
10/20/2020,372,,,
10/22/2020,3635,,,
11/3/2020,870,,,
11/5/2020,4955,,,
11/17/2020,5109,,,
12/1/2020,1414,,,
12/15/2020,384,,,
12/29/2020,61,,,
1/12/2021,90,,,
1/26/2021,3,,,
2/9/2021,45,,,
2/23/2021,480,,,
3/8/2021,7,,,
3/22/2021,22,,,
4/5/2021,113,,,
