"","Species","Source_a","Source_b","Lat","Long","Elevation_m","GroundResolution_m"
"1","albertensis","Literature","Shults 2021",43.7438,-101.9509,729,883.537183626729
"2","albertensis","Literature","Shults 2021",40.656,-104.9878,1553,927.804742546534
"3","albertensis","Literature","Shults 2021",38.8793,-98.4481,503,952.062898108233
"4","albertensis","Literature","Shults 2021",39.2234,-96.5906,329,947.435496612761
"5","albertensis","Literature","Shults 2021",43.2167,-79.95,243,891.279074136055
"6","albertensis","Type","Wirth 1957",50.558988,-111.915675,757,776.94688775059
"7","albertensis","Literature","Wirth 1957",40.084242,-104.84235,1503,935.709721118389
"8","albertensis","Literature","Wirth 1957",36.29498,-96.466025,249,985.707638778755
"9","albertensis","Museum","CNC",49.724595,-113.413671,943,790.618555443291
"10","albertensis","Museum","CNC",49.694776,-112.865486,835,791.104058732588
"11","albertensis","Museum","USNM",45.668626,-108.772473,1006,854.63578395786
"12","albertensis","Museum","USNM",43.405313,-103.267711,909,888.517414270129
"13","albertensis","Museum","USNM",42.209585,-104.518856,1287,905.860987286767
"14","albertensis","Museum","USNM",42.122157,-105.010225,1388,907.113709667452
"15","albertensis","Museum","USNM",41.943317,-103.809261,1204,909.66965732662
"16","albertensis","Museum","USNM",40.826151,-96.729162,350,925.434404214649
"17","albertensis","Museum","USNM",40.537676,-105.062178,1526,929.448267429127
"18","albertensis","Museum","USNM",37.9626,-98.600863,572,964.222488892561
"19","ausralis","Type","Type",30.43205,-91.226327,6,1054.50135731721
"20","ausralis","Literature","Wirth 1957",32.728319,-80.019017,11,1028.83464706969
"21","ausralis","Literature","Wirth 1957",39.08209,-92.879655,200,949.339955467852
"22","ausralis","Literature","Wirth 1957",37.81191,-96.278253,322,966.197781237256
"23","ausralis","Literature","Wirth 1957",35.584382,-94.810359,238,994.61011934319
"24","ausralis","Literature","Wirth 1957",36.146617,-97.059263,281,987.578922153462
"25","ausralis","Literature","Wirth 1957",28.286828,-96.939496,5,1076.95042397305
"26","ausralis","Literature","Wirth 1957",26.111906,-97.588768,11,1098.16911904199
"27","ausralis","Literature","Wirth 1957",31.636921,-96.293536,153,1041.2424489648
"28","ausralis","Literature","Wirth 1957",31.791419,-96.471466,145,1039.50885644673
"29","ausralis","Museum","USNM",36.876024,-81.764563,522,978.315495339094
"30","combinothecus","Type","Yu 1986",31.916667,102.25,2891,1038.09792462761
"31","cornutus","Type","Type",-29.670357,31.044374,44,1062.64313910561
"32","cornutus","Literature","Paratype",-28.743691,31.878118,140,1072.29497207684
"33","cornutus","Literature","Becker 2012",-22.571541,16.37926,1457,1129.31243406857
"34","cornutus","Literature","Braverman 1978",-17.97377,31.07198,1433,1163.30783371829
"35","cornutus","Literature","Khamala 1971",-3.380793,36.758177,1330,1220.86402111695
"36","cornutus","Literature","Venter 1989",-29.464545,27.727761,1740,1064.81090737193
"37","cornutus","Literature","Walker 1977",1.086658,36.696495,1925,1222.7725039326
"38","cornutus","Literature","Walker 1977",0.464379,35.270582,2138,1222.95228353851
"39","cornutus","Literature","Walker 1977",-0.246591,35.732045,2463,1222.98112589172
"40","cornutus","Literature","Walker 1977",-1.601311,35.868139,1916,1222.51484453136
"41","cornutus","Literature","Walker 1977",-1.183285,36.918381,1548,1222.73165003368
"42","cornutus","Literature","Walker 1977",1.022478,35.006438,1892,1222.79771715007
"43","cornutus","Literature","Walker 1977",0.834059,36.683447,1875,1222.86287363169
"44","cornutus","Literature","Walker 1977",-0.293036,36.102627,1802,1222.97645736835
"45","cornutus","Literature","Walker 1977",-0.41579,36.254058,1857,1222.96024968453
"46","cornutus","Literature","Walker 1977",-0.658826,36.416855,1918,1222.91160160095
"47","cornutus","Literature","Walker 1977",-1.276334,37.128549,1474,1222.68902206187
"48","cornutus","Literature","Walker 1977",-1.343714,36.6671,1918,1222.65614061604
"49","cornutus","Literature","Walker 1977",-1.769547,37.113404,1677,1222.40922478586
"50","cornutus","Museum","CNC",-1.228591,36.718026,1879,1222.71129709446
"51","cornutus","Museum","CNC",-1.239363,36.827474,1693,1222.70634546262
"52","cornutus","Museum","CNC",-18.979691,28.867936,1124,1156.50314305382
"53","cornutus","Museum","CNC",-25.63802,28.170558,1230,1102.58347291258
"54","cornutus","Museum","USNM",-25.65153,28.183006,1224,1102.45866730922
"55","digitalis","Literature","Remm 1973",48.767756,89.846926,2046,806.089964852962
"56","digitalis","Literature","Remm 1973",50.019776,100.090964,1663,785.800983015585
"57","digitalis","Literature","Remm 1973",46.110937,102.78222,1803,847.856972346628
"58","digitalis","Literature","Remm 1973",44.800977,110.054934,939,867.784960561146
"59","digitalis","Type","Holotype",49.514371,89.777937,2110,794.036780014316
"60","digitalis","Literature","Paratype",50.292932,100.095593,1602,781.324291736893
"61","digitalis","Literature","Paratype",49.682037,100.119283,1345,791.311405683347
"62","digitalis","Literature","xinghaiensis",36.559479,100.751049,3209,982.355160542114
"63","digitalis","Museum","ZICN",43.025,109.38333,1211,894.076036548752
"64","expallens","Literature","Glukhova 1989",51.719566,94.907811,1018,757.65727911335
"65","expallens","Literature","Gornostaeva 1985",50.511082,115.000913,615,777.736321833265
"66","expallens","Literature","Gornostaeva 1986",50.371091,116.379332,663,780.040089661574
"67","expallens","Literature","Gornostaeva 1986",50.457607,117.029662,1021,778.616884216728
"68","expallens","Literature","Remm 1973",44.313355,103.631461,1088,875.087693622937
"69","expallens","Literature","Remm 1973",45.186386,100.769593,1265,861.968493390603
"70","expallens","Type","Remm 1973",47.860162,104.002762,1034,820.557437281836
"71","expallens","Literature","Remm 1973",48.848586,90.869915,1598,804.79163425608
"72","expallens","Literature","Remm 1973",45.295262,113.8509,1241,860.318295599707
"73","expallens","Literature","Remm 1973",47.645498,117.62528,583,823.949308138297
"74","expallens","Literature","Remm 1973",47.848943,92.014275,1171,820.734992541244
"75","expallens","Literature","Remm 1973",48.212857,105.046052,1127,814.959574667717
"76","expallens","Literature","Remm 1973",48.109436,105.837741,1216,816.604249274945
"77","expallens","Literature","Remm 1973",49.768103,95.227666,1386,789.909788159547
"78","expallens","Museum","ZICN",47.857365,103.981815,1040,820.601706387153
"79","expallens","Museum","ZICN",49.560062,117.568593,670,793.294755785825
"80","expallens","Museum","ZICN",52.042997,113.424951,656,752.225904018052
"81","expallens","Museum","ZICN",50.111062727772,106.143594415178,611,784.306887689054
"82","expallens","Museum","ZICN",50.2552744815612,106.528088864854,634,781.942509847478
"83","grandensis","Type","Holotype",38.937324,-109.398322,1345,951.285003151668
"84","grandensis","Literature","Paratype",38.550243,-109.590208,1259,956.455885943131
"85","heiheensis","Type","Type",50.236832,127.49078,135,782.24515423394
"86","heiheensis","Literature","as ahuiensis",50.225361,127.559098,125,782.433354493777
"87","helveticus","Type","Type",46.549328,6.235239,1337,841.088378949018
"88","helveticus","Literature","Aubakirova",49.186434,84.869881,643,799.347647377972
"89","helveticus","Literature","Brodskaya",59.759525,29.621451,98,615.936133826978
"90","helveticus","Literature","Brodskaya",60.173454,30.320712,49,608.287040902038
"91","helveticus","Literature","Brodskaya",59.801244,30.387944,20,615.166648564504
"92","helveticus","Literature","Glukhova",53.831452,27.674793,183,721.764411811441
"93","helveticus","Literature","Glukhova",48.514187,24.61374,527,810.152490535011
"94","helveticus","Literature","Gornostaeva",53.677266,91.419545,248,724.418679499735
"95","helveticus","Literature","Katsko",49.438232,130.571593,152,795.272159292524
"96","helveticus","Literature","Khlyzova",57.19668,65.733457,55,662.56461932722
"97","helveticus","Literature","Mezenev",62.566536,97.389296,487,563.454931544481
"98","helveticus","Literature","Mezenev",60.341349,102.310216,246,605.175396208658
"99","helveticus","Literature","Mezenev",64.216591,93.789468,151,531.965489388024
"100","helveticus","Literature","Mezenev",65.759889,105.337909,409,502.11359180665
"101","helveticus","Literature","Mezenev",67.549724,100.383343,293,467.038194470364
"102","helveticus","Literature","Mirzaeva 1969",66.636829,66.349339,18,484.987303541782
"103","helveticus","Literature","Mirzaeva 1971",51.674777,100.987477,1294,758.407521306039
"104","helveticus","Literature","Mirzaeva 1971",51.697899,102.141381,744,758.020271996003
"105","helveticus","Literature","Nielsen",58.26999,13.430167,130,643.192779876388
"106","helveticus","Literature","Remm",49.524423,102.770428,1323,793.873578317863
"107","helveticus","Literature","Sprygin",61.950912,52.338615,124,575.085115560951
"108","helveticus","Literature","Sprygin",59.150309,56.177518,118,627.135393548712
"109","helveticus","Literature","Sprygin",55.962242,92.827596,238,684.556717872612
"110","helveticus","Literature","Sprygin",58.331809,82.904811,79,642.070088305877
"111","helveticus","Literature","Sprygin",62.916944,152.402747,202,556.805992316724
"112","helveticus","Literature","Sprygin",62.078895,129.747935,112,572.672721149475
"113","helveticus","Literature","Yu",49.246837,119.690299,640,798.371396389697
"114","helveticus","Literature","Yu",41.097833,123.035373,129,921.632747641328
"115","helveticus","Literature","Yu",50.220544,127.5557,124,782.512375799815
"116","helveticus","Museum","ZICN",46.4726204233611,102.276791729608,1991,842.276280650352
"117","helveticus","Museum","ZICN",45.0835731541786,100.533343473039,1227,863.523936709106
"118","helveticus","Museum","ZICN",60.0775679699002,43.481660611261,111,610.061781735113
"119","helveticus","Museum","ZICN",46.4731641217533,102.274434592128,1994,842.267866188977
"120","helveticus","Museum","ZICN",58.867349,25.007759,77,632.31302995462
"121","helveticus","Museum","ZICN",56.456744,29.115611,151,675.78450993736
"122","homotomus","Museum","USNM",6.100349,100.368085,6,1216.06700933599
"123","homotomus","Museum","USNM",11.576087,104.936141,12,1198.11566860439
"124","homotomus","Museum","USNM",13.749908,100.537802,12,1187.94448699549
"125","homotomus","Museum","USNM",13.759833,100.581942,4,1187.89411537678
"126","homotomus","Museum","USNM",13.790581,99.850099,15,1187.73783606316
"127","homotomus","Museum","USNM",13.804612,100.772594,3,1187.66640865468
"128","homotomus","Museum","CNC",16.444601,102.546801,212,1172.96460055278
"129","homotomus","Museum","CNC",17.334759,103.088323,181,1167.44440281012
"130","homotomus","Museum","USNM",17.374542,102.806424,168,1167.19110543441
"131","homotomus","Museum","USNM",17.798486,102.58973,168,1164.45693984408
"132","homotomus","Museum","USNM",23.948297,121.536537,88,1117.70762474475
"133","homotomus","Museum","CNC",24.003161,120.969823,443,1117.23175460491
"134","homotomus","Museum","CNC",24.773066,120.975214,52,1110.44603055939
"135","homotomus","Museum","USNM",24.825332,120.994637,15,1109.97809116539
"136","homotomus","Museum","USNM",25.194838,121.55996,529,1106.64356568085
"137","homotomus","Museum","USNM",33.058973,130.119367,169,1025.00164371837
"138","homotomus","Museum","USNM",33.388404,130.219501,346,1021.14886959378
"139","homotomus","Museum","USNM",34.550456,135.523915,34,1007.28970083902
"140","homotomus","Museum","USNM",35.18242,129.117205,10,999.578302153852
"141","homotomus","Museum","USNM",35.817147,126.896984,23,991.710786198924
"142","homotomus","Museum","USNM",36.990343,127.087256,12,976.849240013865
"143","homotomus","Museum","USNM",37.687368,127.532289,114,967.825273543524
"144","homotomus","Museum","USNM",37.740406,127.02417,101,967.132741151346
"145","homotomus","Literature","arnaud",34.6,135.5,10,1006.68956614759
"146","homotomus","Literature","arnaud",33.3,130.1,75,1022.18609474984
"147","homotomus","Type","arnaud",23.4,120.5,125,1122.40698051612
"148","homotomus","Literature","Causey",19.8,99.7,431,1150.69007919252
"149","homotomus","Literature","Takahashi",49.1,121.5,972,800.743073561146
"150","homotomus","Literature","Chatterjee",25.1,87.9,29,1107.503806467
"151","homotomus","Literature","Chen",24.9,117.8,778,1109.30798362074
"152","homotomus","Literature","Cho",38.2,128.3,517,961.097049147983
"153","homotomus","Literature","Cho",37.6,128.8,738,968.964254067087
"154","homotomus","Literature","Cho",37.4,127.6,88,971.563085120373
"155","homotomus","Literature","Cho",36.1,129.3,129,988.165529754401
"156","homotomus","Literature","Cho",35.9,128.4,23,990.674812526814
"157","homotomus","Literature","Cho",35,127,135,1001.81676766684
"158","homotomus","Literature","Cho",34.6,127.4,22,1006.68956614759
"159","homotomus","Literature","Cho",33.3,126.3,166,1022.18609474984
"160","homotomus","Literature","Jeu",29.4,107.2,854,1065.48791556848
"161","homotomus","Literature","Lui",28.4,115.3,44,1075.80356552353
"162","homotomus","Literature","Qu",19.3,109.9,176,1154.2614405079
"163","homotomus","Literature","Satheesha",17.9,77.4,651,1163.79277384557
"164","homotomus","Literature","Yanse",31.6,130.5,105,1041.65561210142
"165","homotomus","Literature","Wirth",12.9,105,26,1192.12558354699
"166","homotomus","Literature","Yu",39,115.4,31,950.443645401552
"167","homotomus","Literature","Yu",37.9,112.6,882,965.043880190267
"168","homotomus","Literature","Yu",43.6,112.1,957,885.656720896391
"169","homotomus","Literature","Yu",47.2,120.2,1317,830.951587071273
"170","homotomus","Literature","Yu",43.2,116.5,1240,891.523129491465
"171","homotomus","Literature","Yu",40.9,111.7,1124,924.403088035447
"172","homotomus","Literature","Yu",49.5,117.5,744,794.270061439468
"173","homotomus","Literature","Yu",40.3,112.1,1343,932.737611026519
"174","homotomus","Literature","Yu",41.7,100.5,987,913.132861730257
"175","homotomus","Literature","Yu",41.6,123.5,56,914.551420720593
"176","homotomus","Literature","Yu",43.8,126.5,191,882.707311524316
"177","homotomus","Literature","Yu",50.2,127.5,134,782.849331282355
"178","homotomus","Literature","Yu",32.2,119.4,6,1034.88785558425
"179","homotomus","Literature","Yu",32.7,119,8,1029.16133506935
"180","homotomus","Literature","Yu",26.1,119.4,489,1098.28094734852
"181","homotomus","Literature","Yu",28.5,115.9,23,1074.78669596863
"182","homotomus","Literature","Yu",36.4,120.4,40,984.379039280911
"183","homotomus","Literature","Yu",34.6,113.6,230,1006.68956614759
"184","homotomus","Literature","Yu",32.5,111.1,336,1031.4613727852
"185","homotomus","Literature","Yu",28.3,113.1,38,1076.81715799419
"186","homotomus","Literature","Yu",23.6,116.4,52,1120.70470206448
"187","homotomus","Literature","Yu",21.7,108.4,16,1136.32212241644
"188","homotomus","Literature","Yu",18.3,109.5,11,1161.1401934269
"189","homotomus","Literature","Yu",30.5,104.1,490,1053.76596012803
"190","homotomus","Literature","Yu",30.7,107.7,473,1051.59283848197
"191","homotomus","Literature","Yu",23.9,100.4,905,1118.12568697721
"192","homotomus","Literature","Yu",29.6,94.4,2972,1063.38573632652
"193","homotomus","Literature","Yu",29.9,94.3,4694,1060.20818109949
"194","homotomus","Literature","Yu",34.7,110.1,336,1005.47595710009
"195","homotomus","Literature","Yu",37.9,102.6,1606,965.043880190267
"196","homotomus","Literature","Yu",26.1,110.6,523,1098.28094734852
"197","homotomus","Literature","Yu",44.3,81,1102,875.286811673721
"198","lochmocola","Type","Chen2016",44.053937,88.073606,885,878.946997820857
"199","longicollis","Type","Glukhova1971",49.274623,23.502309,374,797.922012880511
"200","longicollis","Literature","Remm1988",49.025822,21.547105,309,801.939180921712
"201","longicollis","Literature","Remm1988",40.269329,44.956843,3054,933.160917704589
"202","longicollis","Literature","Remm1988",40.495526,47.938201,2,930.032775373732
"203","longicollis","Literature","Remm1988",43.396239,76.877564,662,888.650495925197
"204","longicollis","Literature","Remm1988",41.706208,75.195658,3674,913.044705843933
"205","longicollis","Literature","Remm1988",39.369631,59.902622,113,945.458649196806
"206","longicollis","Museum","ZICN",49.2797760021214,23.5284243809291,333,797.838652647593
"207","longicollis","Museum","ZICN",49.27093,23.514012,371,797.981750655639
"208","longicollis","Museum","ZICN",49.543861,23.780889,284,793.557918623706
"209","longicollis","Museum","ZICN",49.543861,23.780893,284,793.557918623706
"210","longicollis","Museum","ZICN",45.075778,36.214417,36,863.641755333316
"211","longicollis","Museum","ZICN",50.462222,13.409306,347,778.540916642664
"212","longicollis","Museum","ZICN",46.955389,37.391167,0,834.775013052579
"213","longicollis","Museum","ZICN",48.899667,37.725167,62,803.970320397647
"214","longicollis","Museum","ZICN",46.646417,35.820833,27,839.58268701447
"215","longicollis","Museum","ZICN",49.273694,23.501278,374,797.937040648063
"216","longlinensis","Type","Yu1982",24.777622,105.359212,612,1110.40527728388
"217","longlinensis","Literature","Yu1990",28.600982,115.800697,30,1073.75651839467
"218","mullensi","Type","Wirth1957",32.5522,-117.0628,11,1030.86227386267
"219","mullensi","Literature","Wirth1957",36.986143,-122.026365,21,976.903178055327
"220","mullensi","Literature","genbank",39.0166,-122.6585,410,950.220617748474
